Date,Actual_Rate,Agent_Rate,Inflation,GDP_Gap,Agent_Error
115,2.403333333333333,0.0,0.3794472587869357,0.6333252968890478,-2.403333333333333
116,2.396666666666667,0.0,0.2036203503439138,0.7257676149913166,-2.396666666666667
117,2.19,0.0,0.5590611661529854,1.029310641526297,-2.19
118,1.643333333333333,0.0,0.2407518418966248,1.66737365832009,-1.643333333333333
119,1.26,0.0,0.393537496985763,1.809652978313259,-1.26
120,0.06,0.0,0.3084077130751428,-0.1586067137983051,-0.06
121,0.09333333333333334,146.7484130859375,-0.3984521665836516,-8.573463433536102,146.65507975260417
122,0.09000000000000001,137.72854614257812,0.8116321113974534,-1.990485786572667,137.63854614257812
123,0.08,144.02659606933594,0.484584859584869,-1.525830879329733,143.94659606933592
124,0.07,136.97650146484375,1.128726029998095,-0.7879690557517156,136.90650146484376
125,0.09000000000000001,0.0,1.557322419247353,0.1268493272644198,-0.09000000000000001
126,0.08,0.0,1.380005176174803,0.3238202695298906,-0.08
127,0.12,0.0,1.650240242156809,1.458379796629026,-0.12
128,0.77,0.0,1.878178507682238,0.521642482570077,-0.77
129,2.19,0.0,1.837390500506242,-0.08488294663560296,-2.19
130,3.653333333333333,0.0,1.160177052354938,-0.09358727919572984,-3.653333333333333
131,4.516666666666667,0.0,0.9896251730562078,0.04813433312732014,-4.516666666666667
132,4.989999999999999,0.0,0.9714653217344216,0.05345478228824507,-4.989999999999999
133,5.260000000000001,0.0,0.7224270868253502,-0.02617401588378459,-5.260000000000001
134,5.33,0.0,0.6664891581102061,0.3563011821566161,-5.33
135,5.33,0.0,0.410801517568582,0.4602840506951305,-5.33
136,5.33,0.0,0.8454066513006175,0.1842489438967131,-5.33
137,5.263333333333333,0.0,0.6269029524843539,0.2450111991036149,-5.263333333333333
138,4.649999999999999,0.0,0.3828837963901766,0.3302565074991772,-4.649999999999999
